,,
AGUA Y REFRESCOS | SOFT DRINKS,,
AGUA MINERAL / GAS,,REFRESCOS
BEBIDA ENERGÉTICA,,ZUMOS
BATIDO DE CACAO,,LIMONADA CASERA
CAFÉ E INFUSIONES | COFFEE & TEA,,
CAFÉ EXPRESO,,CAFÉ CORTADO
CAFÉ AMERICANO,,CAFÉ CON LECHE
CAPPUCCINO,,LATTE MACCHIATO
TÉ E INFUSIONES,,BAILEYS COFFEE
MATCHA LATTE,,ICE COFFE
ICE MATCHA LATTE,,
CERVEZAS | BEERS,,
ESTRELLA DAMM 25CL,,ESTRELLA DAMM 50CL
MAGNERS 25CL,,MAGNERS 50CL
CORONITA 33CL,,HEINEKEN 33CL
"FREE DAMM 33 CL 0,0 %",,KOPPENBERG 50 CL
SANGRÍAS,,
COPA SANGRÍA,,JARRA SANGRÍA 1LT
COPA SANGRÍA CAVA,,JARRA SANGRÍA CAVA 1LT
C. SANGRÍA VINO BLANCO,,J. SANGRÍA VINO BLANC 1LT
CÓCTELES SIN ALCOHOL,,
SAN FRANCISCO,,
MOJITO SIN ALCOHOL,,
VIRGIN COLADA,,
VIRGIN DAIQUIRI SABORES,,
MOJITO,,
MOJITOS DE SABORES,,
CAIPIRINHA,,
PIÑA COLADA,,
APEROL SPRITZ,,
DAIQUIRIS DE SABORES,,
ESPRESSO MARTINI,,
HUGO,,
SOURS,,
LONG ISLAND ICE TEA,,
PORN STAR,,
SEX ON THE BEACH,,
